Unnamed: 0,Listing Type,Address,City,State,Zip,APN,Beds,Baths,Property Type,Estimated Value,List Date,List Price,Status,Document Type,Default Amount,Last Updated,Sale Amount,Sale Date,Estimated Equity
1,Pre-Foreclosure,644 Thieriot Ave Bronx,Bronx,NY,10473,03560-0028,6,-,"Duplex (2 units, any combination)","$480,449",04/14/2022,"$500,000",FAIL,Notice of Lis Pendens,-,10/18/2021,"$270,000",10/27/1997,"$-82,025"
2,Pre-Foreclosure,736 Noble Ave Bronx,Bronx,NY,10473,03594-0023,10,4,"Quadruplex (4 units, any combination)","$840,643",10/05/2021,"$875,000",FAIL,Notice of Lis Pendens,-,08/19/2021,"$570,000",03/31/2016,"$272,844"
3,Pre-Foreclosure,639 Leland Ave #A Bronx,Bronx,NY,10473,03560-0063,-,-,Single Family Residential,"$575,214",04/06/2021,"$150,000",SOLD,Notice of Lis Pendens,-,06/29/2021,"$150,000",04/06/2021,"$575,214"
4,Pre-Foreclosure,401 Harding Park Bronx,Bronx,NY,10473,03429-0310,3,2,Single Family Residential,"$604,073",09/17/2020,"$629,999",FAIL,Notice of Lis Pendens,"$255,000",03/30/2021,"$240,000",05/08/2019,"$4,252"
5,Pre-Foreclosure,170 Newman Ave Bronx,Bronx,NY,10473,03445-0043,2,2,Single Family Residential,"$552,850",03/21/2020,"$399,000",FAIL,Notice of Lis Pendens,-,05/10/2022,-,06/27/2002,"$355,584"
6,Pre-Foreclosure,138 Husson Ave Bronx,Bronx,NY,10473,03448-0020,4,3,"Duplex (2 units, any combination)","$705,588",10/13/2019,-,FAIL,Notice of Lis Pendens,-,04/01/2021,"$550,620",02/19/2004,"$314,119"
7,Pre-Foreclosure,502 White Plains Rd Bronx,Bronx,NY,10473,03528-0008,6,6,"Duplex (2 units, any combination)","$570,002",03/02/2019,"$725,000",FAIL,Notice of Lis Pendens,"$621,907",06/14/2022,-,-,"$86,777"
8,Pre-Foreclosure,740 Rosedale Ave Bronx,Bronx,NY,10473,03595-0024,3,2.5,Single Family Residential,"$625,300",07/19/2018,"$429,000",FAIL,Notice of Lis Pendens,-,08/11/2021,-,-,"$245,559"
9,Pre-Foreclosure,1812 Lacombe Ave Bronx,Bronx,NY,10473,03495-0044,8,4,"Duplex (2 units, any combination)","$721,330",02/06/2018,"$569,000",FAIL,Notice of Lis Pendens,-,03/24/2021,"$490,000",09/16/2016,"$721,330"
10,Pre-Foreclosure,102 Admiral Ct #22 Bronx,Bronx,NY,10473,03432-1322,3,2,Condominium (Residential),"$517,862",08/08/2017,"$2,350",FAIL,Notice of Lis Pendens,-,07/15/2021,"$19,300",01/04/2016,"$517,862"
11,Pre-Foreclosure,1930 Patterson Ave Bronx,Bronx,NY,10473,03475-0045,-,-,"Retail Stores (Personal Services, Photography, Travel)",-,02/07/2016,"$850,000",FAIL,Notice of Lis Pendens,"$425,000",03/18/2022,-,01/27/2020,-
12,Pre-Foreclosure,1480 Bruckner Blvd #1494 Bronx,Bronx,NY,10473,03650-0041,-,-,"Auto repair, auto parts, Garage",-,06/05/2015,"$4,900,000",FAIL,Notice of Lis Pendens,-,09/24/2021,-,10/05/2012,-
13,Pre-Foreclosure,2215 Homer Ave Bronx,Bronx,NY,10473,03614-0026,3,1.5,Single Family Residential,"$579,144",05/21/2015,"$231,500",SOLD,Notice of Lis Pendens,-,07/16/2021,"$399,000",10/19/2015,"$242,014"
14,Pre-Foreclosure,357 Thieriot Ave Bronx,Bronx,NY,10473,03470-0040,-,3,"Duplex (2 units, any combination)","$740,183",08/28/2012,"$399,000",FAIL,Notice of Lis Pendens,"$300,000",05/18/2022,"$187,000",07/12/1996,"$740,183"
15,Pre-Foreclosure,536 Commonwealth Ave Bronx,Bronx,NY,10473,03520-0023,-,-,"Triplex (3 units, any combination)","$864,387",-,-,-,Notice of Lis Pendens,-,08/31/2021,"$200,000",02/28/2022,"$418,365"
16,Pre-Foreclosure,222 Neptune Ct #6222H Bronx,Bronx,NY,10473,03432-1078,-,-,Apartments (generic),"$423,443",-,-,-,Notice of Lis Pendens,-,08/30/2021,"$21,000",04/21/2014,"$423,443"
17,Pre-Foreclosure,2163 Turnbull Ave Bronx,Bronx,NY,10473,03685-0050,-,-,"Duplex (2 units, any combination)","$657,266",-,-,-,Notice of Lis Pendens,-,09/29/2021,"$470,000",04/01/2014,"$272,716"
